dane_code,department,dept_capital,notary_offices,telecom_offices,post_offices,health_centers,health_posts,schools,libraries,fire_stations,jails,public_instrument_offices,tax_offices,municipal_employees,primary_enrollment,secondary_enrollment,infant_mortality,aqueduct_coverage,sewage_coverage,electricity_coverage,vaccination_coverage,not_poor_1993,not_poor_2005,life_quality_index,tax_per_capita_2002,crown_employees_1794,crown_employees_nonmilitary_1794,colonial_state_index,colonial_city,royal_road_distance,literacy_1918,schooling_1918,vaccination_1918,longitude,latitude,area_sqkm,elevation_m,rainfall_mm,distance_coast_km,distance_magdalena_km,highway_distance_m,population_1995,pop_density_1995,urban_share_1995,malaria_incidence,oil_producer,land_agri_share,land_mountain_share,slaves_share_1843,encomienda_1560,gold_mine_1560,foundation_year,population_1843
41548,Huila,0,0,1,1,1,0,4,1,0,1,0,0,36,1.27684,0.466663,24.7781,58.4093,36.2209,78.8247,0.600733,43.0707,55.15,49,11369,0,0,1,0,5.12151,0.309518,0.022937,0.502241,-75.84,2.24,210,918,1520,208.492,14.9331,412.504,12015,57.2143,0.303243,0.203241,0,0.888889,0.444444,0.0091904,0,0,1719,2285
41551,Huila,0,1,1,1,1,0,38,1,1,1,1,1,137,1.6027,0.637101,15.4179,78.2481,59.4731,82.3098,0.729692,60.0033,62.72,57,35766,0,0,0,0,47.0024,0.22352,0.0129616,0.239384,-76.07,1.85,653,1318,1600,198.714,9.11993,805.932,76996,117.911,0.594177,0.452835,0,0.904762,1,0.0107962,1,0,1810,1482
41615,Huila,0,0,1,1,1,0,6,1,0,1,0,0,17,1.43091,0.815839,13.2814,89.6895,47.2595,86.4316,0.550644,58.0907,61.69,55,47570.9,0,0,0,0,11.5615,,,,-75.28,2.75,404,729,1205,238.592,9.49071,2070.07,14499,35.8886,0.490835,0,0,0.357143,1,0,0,0,1885,2892.24
41660,Huila,0,0,1,1,1,0,3,1,0,1,0,0,9,1.21655,0.246513,22.3678,74.183,24.3137,53.7255,0.929057,44.259,50.56,44,4112.48,0,0,0,0,33.4868,,,,-76.15,1.99,290,1316,1500,175.773,2.58878,235.699,8734,30.1172,0.175276,0.114604,0,0.384615,1,0,0,0,1874,2892.24
41668,Huila,0,1,1,1,0,0,12,0,0,1,0,1,22,1.54005,0.484594,31.6849,66.6588,30.8513,58.1693,0.593225,41.5485,57.43,49,9249.35,0,0,0,0,50.8136,0.357927,0.0705201,0.217983,-76.31,1.87,1574,1695,1370,169.466,1.38943,735.747,26606,16.9034,0.335449,0.018423,0,0.491525,1,0,1,0,1790,2892.24
41676,Huila,0,0,1,1,1,0,4,1,0,1,0,0,6,1.23298,0.475572,22.1929,38.3929,28.4439,77.0408,0.61337,48.4517,57.98,41,7108.53,0,0,0,0,20.2538,,,,-75.68,2.95,378,1315,1940,173.244,28.3125,2165.79,9651,25.5317,0.268673,0,0,0.333333,0.962963,0,0,0,1905,2892.24
41770,Huila,0,0,1,1,0,0,5,1,0,1,0,0,12,1.9927,0.513411,14.3266,48.7726,28.0362,53.553,0.625273,40.8078,54.35,46,18028.8,0,0,1,0,32.1155,0.217676,0.0560928,0.152953,-75.83,1.97,383,1000,1360,227.275,9.9676,795.318,9047,23.6214,0.254639,0.0545019,0,0.285714,1,0.0032342,1,0,1748,1546
41791,Huila,0,0,1,1,0,5,6,1,0,1,0,0,22,1.51399,0.446872,25.7384,85.1011,50.3508,81.1391,0.690783,58.7702,59.15,45,10527.3,0,0,0,0,16.9438,,,,-75.89,2.08,347,826,1190,207.625,1.47504,1904.16,14251,41.0692,0.268227,0.0171069,0,0.692308,0.384615,0,1,0,1789,2892.24
41797,Huila,0,0,1,1,0,0,6,1,0,1,0,0,5,1.29055,0.754904,22.6429,82.8251,65.588,79.8382,0.622432,54.8413,64.47,52,16245.9,0,0,2,0,6.28914,0.188198,0.0348884,0.184809,-75.74,2.46,369,833,1620,204.998,17.1757,2209.43,8189,22.1924,0.457831,0,1,0.666667,0.8,0.012213,1,0,1777,2047
41799,Huila,0,0,1,1,1,0,4,1,0,1,0,1,9,1.19762,0.386517,198.112,81.1696,37.8168,81.0526,0.4378,48.1518,51.76,43,11643.8,0,0,0,0,7.0374,0.119553,0.0452215,0.206701,-75.14,3.04,589,575,1030,233.445,12.9695,1142.49,15014,25.4907,0.281506,0.0154521,0,0.772727,0.818182,0.0069498,0,0,1811,2590
